零件编号,数量,零件名称,零件分类,颜色,图片链接
3708,1,"Technic Axle 12","Technic Axles","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/370826.jpg/85x85p.jpg?1658325743.3637855
3705,1,"Technic Axle 4","Technic Axles","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/370526.jpg/85x85p.jpg?1658325724.9877822
3706,6,"Technic Axle 6","Technic Axles","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/370626.jpg/85x85p.jpg?1658325740.439785
59443,8,"Technic Axle Connector Smooth [with x Hole + Orientation]","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4512363.jpg/85x85p.jpg?1658325740.463785
32039,2,"Technic Axle Connector with Axle Hole","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107081.jpg/85x85p.jpg?1658325748.9957864
18651,2,"Technic Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle","Technic Pins","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/6089119.jpg/85x85p.jpg?1658325740.483785
32013,2,"Technic Axle and Pin Connector Angled #1","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107085.jpg/85x85p.jpg?1658325740.8557851
32034,4,"Technic Axle and Pin Connector Angled #2 - 180°","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107783.jpg/85x85p.jpg?1658325740.867785
32016,2,"Technic Axle and Pin Connector Angled #3 - 157.5°","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107082.jpg/85x85p.jpg?1658325738.4117846
32192,2,"Technic Axle and Pin Connector Angled #4 - 135°","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4121610.jpg/85x85p.jpg?1658325748.9957864
32015,2,"Technic Axle and Pin Connector Angled #5 - 112.5°","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107084.jpg/85x85p.jpg?1658325791.6197937
6536,4,"Technic Axle and Pin Connector Perpendicular","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4173668.jpg/85x85p.jpg?1658325738.3077846
32184,5,"Technic Axle and Pin Connector Perpendicular 3L with Centre Pin Hole","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4121667.jpg/85x85p.jpg?1658325740.8917851
32291,2,"Technic Axle and Pin Connector Perpendicular Double","Technic Connectors","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4140430.jpg/85x85p.jpg?1658325751.3277867
41239,2,"Technic Beam 1 x 13 Thick","Technic Beams","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4164422.jpg/85x85p.jpg?1658325740.919785
32278,2,"Technic Beam 1 x 15 Thick","Technic Beams","Black",https://cdn.rebrickable.com/media/thumbs/parts/elements/4128603.jpg/85x85p.jpg?1658325740.935785
