零件编号,数量,颜色,零件名称,零件分类,图片链接
18651,1,"Black","Technic Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/6089119.jpg/85x85p.jpg?1658325740.483785
32013,3,"Black","Technic Axle and Pin Connector Angled #1","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107085.jpg/85x85p.jpg?1658325740.8557851
32525,1,"Black","Technic Beam 1 x 11 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4156150.jpg/85x85p.jpg?1658325740.895785
32278,1,"Black","Technic Beam 1 x 15 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4128603.jpg/85x85p.jpg?1668283113.4976883
60483,2,"Black","Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4515185.jpg/85x85p.jpg?1658325740.935785
32523,2,"Black","Technic Beam 1 x 3 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4142822.jpg/85x85p.jpg?1658325740.9477851
32316,2,"Black","Technic Beam 1 x 5 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4140429.jpg/85x85p.jpg?1740872025.8940713
40490,1,"Black","Technic Beam 1 x 9 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4154767.jpg/85x85p.jpg?1658325741.435785
32270,3,"Black","Technic Gear 12 Tooth Double Bevel","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4177431.jpg/85x85p.jpg?1658325741.4437852
18575,1,"Black","Technic Gear 20 Tooth Double Bevel with Axle Hole Type 1 [+ Opening]","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/6093977.jpg/85x85p.jpg?1658325759.3957882
65487,4,"Black","Technic Pin Connector Hub with 1 Pin with Friction Ridges Lengthwise [Square Holes]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/6282140.jpg/85x85p.jpg?1658325738.2877846
18654,1,"Black","Technic Pin Connector Round 1L [Beam]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/6121485.jpg/85x85p.jpg?1658325735.1917841
87408,1,"Black","Technic Pin Connector Toggle Joint Smooth Double with Axle and Pin Holes","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4558692.jpg/85x85p.jpg?1658325741.4677851
2780,22,"Black","Technic Pin with Friction Ridges Lengthwise and Center Slots","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4121715.jpg/85x85p.jpg?1658325730.5597832
43093,8,"Blue","Technic Axle Pin with Friction Ridges Lengthwise","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4189110.jpg/85x85p.jpg?1740872093.7396646
35185,2,"Blue","Technic Gear 20 Tooth Double Bevel with Clutch on Both Sides","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/6224999.jpg/85x85p.jpg?1658325805.215796
4274,2,"Blue","Technic Pin 1/2","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4143005.jpg/85x85p.jpg?1658325775.627791
6558,6,"Blue","Technic Pin Long with Friction Ridges Lengthwise, 2 Center Slots","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514553.jpg/85x85p.jpg?1658325738.3957846
87083,2,"Dark Bluish Gray","Technic Axle 4 with Stop","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4560177.jpg/85x85p.jpg?1658325733.6797838
59426,1,"Dark Bluish Gray","Technic Axle 5.5 with Stop [Rounded Short End]","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4508553.jpg/85x85p.jpg?1658325742.9317853
59443,1,"Dark Bluish Gray","Technic Axle Connector Smooth [with x Hole + Orientation]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4516546.jpg/85x85p.jpg?1658325734.2717838
32013,2,"Dark Bluish Gray","Technic Axle and Pin Connector Angled #1","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210658.jpg/85x85p.jpg?1658325742.9397855
40490,1,"Dark Bluish Gray","Technic Beam 1 x 9 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210757.jpg/85x85p.jpg?1658325817.483798
18947,2,"Dark Bluish Gray","Technic Driving Ring 3L","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/6100931.jpg/85x85p.jpg?1658325817.583798
6542b,1,"Dark Bluish Gray","Technic Gear 16 Tooth with Clutch [Smooth]","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4237267.jpg/85x85p.jpg?1658325787.4077928
3648b,1,"Dark Bluish Gray","Technic Gear 24 Tooth [New Style with Single Axle Hole]","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514558.jpg/85x85p.jpg?1658325738.3517847
10928,3,"Dark Bluish Gray","Technic Gear 8 Tooth [Reinforced]","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/6012451.jpg/85x85p.jpg?1658325741.8437853
6573,1,"Dark Bluish Gray","Technic Gear Differential, 24 -16 Tooth with Clutch on Both Sides","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211023.jpg/85x85p.jpg?1658326123.1878262
18654,1,"Dark Bluish Gray","Technic Pin Connector Round 1L [Beam]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/6100030.jpg/85x85p.jpg?1658325709.3277798
15462,1,"Dark Tan","Technic Axle 5 with Stop","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/6055631.jpg/85x85p.jpg?1658325787.4077928
98585,1,"Light Bluish Gray","Large Figure Weapon, Barrel with 2 Pin Holes and 3 Axle Holes","Large Buildable Figures",https://cdn.rebrickable.com/media/thumbs/parts/elements/6039505.jpg/85x85p.jpg?1737530937.1573489
99499,1,"Light Bluish Gray","Motor, Large, Power Functions with Dark Bluish Gray Bottom","Electronics",https://cdn.rebrickable.com/media/thumbs/parts/elements/6132519.jpg/85x85p.jpg?1658325738.3077846
99498,1,"Light Bluish Gray","Motor, Servo, Power Functions with Dark Bluish Gray Bottom","Electronics",https://cdn.rebrickable.com/media/thumbs/parts/elements/6000566.jpg/85x85p.jpg?1658325738.2597847
4519,2,"Light Bluish Gray","Technic Axle 3","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211815.jpg/85x85p.jpg?1658325738.3957846
32073,2,"Light Bluish Gray","Technic Axle 5","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211639.jpg/85x85p.jpg?1658325742.1397853
44294,3,"Light Bluish Gray","Technic Axle 7","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211805.jpg/85x85p.jpg?1658325738.4277847
6538b,1,"Light Bluish Gray","Technic Axle Connector Ridged [with x Hole x Orientation]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211543.jpg/85x85p.jpg?1658326081.0038223
32013,1,"Light Bluish Gray","Technic Axle and Pin Connector Angled #1","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211550.jpg/85x85p.jpg?1658325817.795798
6536,4,"Light Bluish Gray","Technic Axle and Pin Connector Perpendicular","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211775.jpg/85x85p.jpg?1658325801.9677954
63869,4,"Light Bluish Gray","Technic Axle and Pin Connector Perpendicular Triple","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4538007.jpg/85x85p.jpg?1658325833.1358006
60483,2,"Light Bluish Gray","Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4515184.jpg/85x85p.jpg?1658325787.4237928
32316,1,"Light Bluish Gray","Technic Beam 1 x 5 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211651.jpg/85x85p.jpg?1658325893.1358085
60484,1,"Light Bluish Gray","Technic Beam 3 x 3 T-Shape Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4552348.jpg/85x85p.jpg?1658325834.0318007
14720,1,"Light Bluish Gray","Technic Beam 3 x 5 Thick [90° Offset Centre Beam Holes]","Technic Beams Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/6055519.jpg/85x85p.jpg?1658325833.5798006
64179,2,"Light Bluish Gray","Technic Beam Frame 5 x 7 with 3 x 5 Opening Thick","Technic Beams Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4539880.jpg/85x85p.jpg?1658325742.1437852
3713,7,"Light Bluish Gray","Technic Bush","Technic Bushes",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211622.jpg/85x85p.jpg?1658325742.1277852
32123b,2,"Light Bluish Gray","Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Technic Bushes",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211573.jpg/85x85p.jpg?1740872078.295302
94925,2,"Light Bluish Gray","Technic Gear 16 Tooth Reinforced [New Style]","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4640536.jpg/85x85p.jpg?1658325738.3637846
55615,2,"Light Bluish Gray","Technic Pin Connector Hub Perpendicular 3 x 3 Bent with 4 Pins (Pin Ridges Across Part)","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4296059.jpg/85x85p.jpg?1658325825.1717992
35188,1,"Orange","Gear Shifter","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/6227330.jpg/85x85p.jpg?1658325819.0077982
32034,1,"Orange","Technic Axle and Pin Connector Angled #2 - 180°","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4140350.jpg/85x85p.jpg?1740891218.9122498
32062,3,"Red","Technic Axle 2 Notched","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4142865.jpg/85x85p.jpg?1658325711.4477801
59443,1,"Red","Technic Axle Connector Smooth [with x Hole + Orientation]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4513174.jpg/85x85p.jpg?1658325711.45978
32039,1,"Red","Technic Axle Connector with Axle Hole","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4118897.jpg/85x85p.jpg?1658325895.0438087
6539,1,"Red","Technic Driving Ring 2L, 4 Ridges","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4278957.jpg/85x85p.jpg?1658326023.7838175
26287,2,"Red","Technic Driving Ring Connector Smooth [4 rounded side walls]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/6153686.jpg/85x85p.jpg?1658325901.127809
18946,2,"Red","Technic Gear 16 Tooth with Clutch on Both Sides","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/6100930.jpg/85x85p.jpg?1658325822.707799
41669,1,"Red","Technic Tooth 1 x 3 with Axle Hole [Rounded Underside]","Technic Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4185661.jpg/85x85p.jpg?1658325785.3157926
24316,3,"Reddish Brown","Technic Axle 3 with Stop","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/6135494.jpg/85x85p.jpg?1658325779.4437916
99008,4,"Tan","Technic Axle 4 with Centre Stop","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4666999.jpg/85x85p.jpg?1658325782.499792
3749,2,"Tan","Technic Axle Pin without Friction Ridges Lengthwise","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4133591.jpg/85x85p.jpg?1740872161.8732631
6589,3,"Tan","Technic Gear 12 Tooth Bevel","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514556.jpg/85x85p.jpg?1658325752.099787
32556,2,"Tan","Technic Pin Long without Friction Ridges","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/photos/19/32556-19-22727d9e-2cd4-4ab9-8a17-a619c8ae7eb4.jpg/85x85p.jpg?1673893141.508767
85543,2,"White","Rubber Belt Small [15mm ID] [Round Cross Section]","String, Bands and Reels",https://cdn.rebrickable.com/media/thumbs/parts/elements/4544140.jpg/85x85p.jpg?1658325837.8438015
59443,2,"Yellow","Technic Axle Connector Smooth [with x Hole + Orientation]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4519010.jpg/85x85p.jpg?1658325824.7797992
32123b,4,"Yellow","Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Technic Bushes",https://cdn.rebrickable.com/media/thumbs/parts/elements/6271167.jpg/85x85p.jpg?1658325817.027798
32072,2,"Yellow","Technic Knob Wheel","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4203493.jpg/85x85p.jpg?1658325824.8277993
