Part,Color,Quantity,Is Spare
3708,0,1,False
3705,0,1,False
3706,0,6,False
59443,0,8,False
32039,0,2,False
18651,0,2,False
32013,0,2,False
32034,0,4,False
32016,0,2,False
32192,0,2,False
32015,0,2,False
6536,0,4,False
32184,0,5,False
32291,0,2,False
41239,0,2,False
32278,0,2,False
60483,0,2,False
41677,0,4,False
6632,0,2,False
32449,0,7,False
32524,0,5,False
40490,0,4,False
32140,0,5,False
33299a,0,2,False
60484,0,2,False
32526,0,6,False
32000,0,2,False
2951,0,1,False
32270,0,4,False
15379,0,80,False
87082,0,2,False
87408,0,4,False
32054,0,6,False
2780,0,46,False
43093,1,32,False
6558,1,25,False
87083,72,1,False
59426,72,2,False
59443,72,3,False
11214,72,11,False
61904,72,2,False
6536,72,1,False
32278,72,2,False
60483,72,5,False
41677,72,4,False
6632,72,2,False
32449,72,2,False
32316,72,3,False
32524,72,2,False
6629,72,2,False
32271,72,2,False
32056,72,1,False
60484,72,1,False
3648b,72,8,False
3647,72,2,False
32557,72,1,False
6587,28,1,False
15462,28,1,False
84599,71,1,False
58122,71,1,False
58120,71,4,False
2817,71,5,False
58123b,71,2,False
4519,71,14,False
32073,71,3,False
44294,71,2,False
60485,71,1,False
32523,71,1,False
32063,71,1,False
3713,71,3,False
32123b,71,3,False
92693,71,1,False
61927b,71,2,False
4274,71,1,False
62462,71,3,False
32054,71,2,False
3673,71,4,False
61903,71,2,False
32062,4,18,False
99008,19,4,False
3749,19,2,False
6589,19,6,False
32198,19,2,False
32002,19,5,False
32556,19,2,False
3023,47,2,False
6141,36,2,False
3460,14,1,False
6536,14,2,False
32009,14,2,False
32523,14,1,False
32316,14,5,False
32017,14,2,False
32524,14,3,False
32065,14,2,False
40490,14,2,False
32140,14,2,False
3701,14,1,False
